,Pud Thai Vs Pho,Hungry Jack s,The Comics Lounge,Fat Face Food,Saddles@HQ,McDonalds,Eat & Grab,Coffee Hq,Australian Education Academy Cafe ,Subway Vic Harbour
Cafe Espresso,0.009937698381933075,0.011575414993350018,0.016901927286372874,0.022667077224298345,0.05515712337929255,0.012511254718596545,0.0191270402500685,0.008886800917595325,0.03649675291335445,0.017897983452366234
Moylans Cafe Restaurant,0.010041178321787952,0.0115109366159985,0.017016726352553673,0.02279694536609407,0.05528832117377901,0.01238639597225617,0.018985954776820104,0.008842361906894107,0.03661747653971247,0.018035294323155416
The Moat Coffee Shop,0.00882971642168493,0.011391662214510549,0.01668317042370077,0.022229333520474376,0.05468345436231919,0.013615138624998323,0.020141089196309754,0.009842023633716666,0.036181616585935626,0.016853455056614265
Fortuna Village Restaurant,0.01659385768997535,0.01580949891293553,0.017985622140870756,0.02467005899203348,0.05678395946169871,0.006887289448070364,0.01465990474921648,0.003239350439253124,0.03736869819721396,0.023715408946994285
Grand BBQ,0.017107455123849,0.016114464924452877,0.01828306250397064,0.025001462140558622,0.05705735432427274,0.006451831027878689,0.014285668479769848,0.0031129859099359035,0.03760569510271222,0.024225010252586263
Gloria Jeans Coffees,0.017107455123849,0.016114464924452877,0.01828306250397064,0.025001462140558622,0.05705735432427274,0.006451831027878689,0.014285668479769848,0.0031129859099359035,0.03760569510271222,0.024225010252586263
Grand Asia Takeaway,0.017107455123849,0.016114464924452877,0.01828306250397064,0.025001462140558622,0.05705735432427274,0.006451831027878689,0.014285668479769848,0.0031129859099359035,0.03760569510271222,0.024225010252586263
Muffin Break,0.017107455123849,0.016114464924452877,0.01828306250397064,0.025001462140558622,0.05705735432427274,0.006451831027878689,0.014285668479769848,0.0031129859099359035,0.03760569510271222,0.024225010252586263
Cafe Puccini,0.017651722947568393,0.01633671324344942,0.018751546999936385,0.025496178066788635,0.05749912832954822,0.005890571651022291,0.013767534700577013,0.0032325631738912178,0.03801592531002299,0.024818266488112813
Dragon Boat,0.017651722947568393,0.01633671324344942,0.018751546999936385,0.025496178066788635,0.05749912832954822,0.005890571651022291,0.013767534700577013,0.0032325631738912178,0.03801592531002299,0.024818266488112813
Banana Palm,0.01783381815494647,0.016697736132508433,0.018548170029143496,0.025315655699305634,0.057270161121011985,0.006004689593744343,0.01393486548123675,0.002882507128838882,0.03776558013417593,0.02488173244668723
Westlake Restaurant,0.017950908563563538,0.01674433133368314,0.018655594475254396,0.025427810949739973,0.0573705432309258,0.005883915744161645,0.01382161788226585,0.002932586161064633,0.03785978503890927,0.025011260260512303
Dahu Peking Duck Restaurant,0.018429168725878794,0.017025501827701277,0.018989212173760456,0.025783544057060338,0.05766787559967738,0.0054932460821971564,0.01346794102526738,0.0030607250990373116,0.03812969636334121,0.025499079688124173
A1 Cafe,0.01841434482736322,0.016961106571030976,0.019050420303561817,0.025841373236219926,0.05773423292375983,0.0054404186360345365,0.01340886481135834,0.003138474867444923,0.038199056753900645,0.02551044110753633
Souvlaki Bar,0.018355103823492754,0.016620119115108672,0.01939982429701762,0.0261725668120274,0.05810880023790981,0.005150472669131756,0.013077167997503086,0.0035728198154036557,0.03858935704501135,0.025593354838209962
Hungry Jacks,0.01836848697290984,0.016477665568197814,0.019599941520892658,0.026365341400911832,0.058317627919769174,0.004982907923665321,0.012887156649466377,0.003799580328607983,0.038803809363385657,0.025675969020471315
Hollywood Karaoke Bar,0.018271124856770866,0.016426431289402414,0.019522725842994654,0.026283917904223054,0.05824639439789487,0.005075247535948756,0.012970575925034759,0.0037587794248299866,0.03873779684104579,0.025573885427753868
Happy Cafe,0.018196963662419345,0.01638809787208462,0.01946354345955853,0.026221493296823786,0.05819165559679642,0.0051462511910010935,0.01303478261947628,0.0037286880481487445,0.03868706352197265,0.02549591306309634
Kaneda Sushi,0.018071822783453206,0.016574626313866723,0.019046444797998167,0.02581217937751883,0.05776734833451135,0.0055218900109774045,0.013439458718830014,0.0033124196587983206,0.038259096227382064,0.025248302019458952
Chinese Noodle House,0.018071822783453206,0.016574626313866723,0.019046444797998167,0.02581217937751883,0.05776734833451135,0.0055218900109774045,0.013439458718830014,0.0033124196587983206,0.038259096227382064,0.025248302019458952
Dessert House,0.018071822783453206,0.016574626313866723,0.019046444797998167,0.02581217937751883,0.05776734833451135,0.0055218900109774045,0.013439458718830014,0.0033124196587983206,0.038259096227382064,0.025248302019458952
Kings No.1 Cafe,0.018071822783453206,0.016574626313866723,0.019046444797998167,0.02581217937751883,0.05776734833451135,0.0055218900109774045,0.013439458718830014,0.0033124196587983206,0.038259096227382064,0.025248302019458952
Diamond Coffee Lounge,0.01652112273975076,0.01595719434818636,0.01770514763626719,0.024394993224099402,0.05650134333646377,0.007125118249722714,0.014923197334600078,0.003035765528039635,0.03708397046099173,0.023551523326001963
Medallion Cakes & Coffee Lounge,0.017877325191846427,0.017383377487969167,0.01771661935937035,0.024518045558703218,0.0563943124003518,0.0067484213666265174,0.014737767944149976,0.0019187357662485826,0.03686301093988901,0.024598204251183378
